customer_id,tenure_months,plan_type,monthly_charges,total_charges,internet_service,payment_method,n_complaints_30d,severity,reopen_count,open_unresolved_count,n_contacts_30d,channel,n_repeat_contacts,escalation_count,first_contact_resolved,avg_resolution_hours,max_resolution_hours,sla_breached,pending_age_days,csat_score,days_since_last_complaint,churned
CUST-1017,18,Month-to-month,95.45,1752.55,Fiber optic,Electronic check,1,Medium,1,0,2,Ticket,0,1,0,32.4,45.1,0,0.0,5.0,2,1
CUST-1018,9,Month-to-month,94.4,857.25,Fiber optic,Electronic check,3,Low,0,1,4,Ticket,1,0,1,32.7,34.9,0,1.5,2.1,28,1
CUST-1019,1,Month-to-month,79.35,79.35,Fiber optic,Electronic check,0,Low,0,1,0,Ticket,0,0,0,19.5,30.5,0,0.8,3.1,49,1
CUST-1020,7,Month-to-month,75.15,496.9,Fiber optic,Bank transfer (automatic),1,Medium,0,1,1,Chat,0,0,1,40.2,54.3,0,0.7,3.2,4,1
CUST-1021,12,Month-to-month,78.95,927.35,Fiber optic,Electronic check,1,Low,0,1,1,Call,0,0,1,0.0,15.1,0,1.0,3.5,26,1
CUST-1022,5,Month-to-month,21.05,113.85,No,Mailed check,0,Low,1,0,0,Ticket,1,0,1,4.1,49.4,0,0.0,2.7,122,1
CUST-1023,25,Month-to-month,98.5,2514.5,Fiber optic,Electronic check,1,Low,0,0,4,Chat,0,0,0,44.3,44.6,0,0.0,3.5,27,1
CUST-1024,68,Two year,110.0,7611.85,Fiber optic,Bank transfer (automatic),4,Medium,0,0,5,Ticket,0,1,0,63.5,64.5,1,0.0,3.5,15,1
CUST-1025,55,Month-to-month,96.75,5238.9,Fiber optic,Electronic check,1,Low,0,0,3,Chat,1,0,1,16.5,27.6,0,0.0,3.5,20,1
CUST-1026,37,Month-to-month,76.5,2868.15,Fiber optic,Electronic check,1,Low,1,1,2,Email,1,0,1,27.2,35.1,0,0.0,2.9,6,1
CUST-1027,10,Month-to-month,100.25,1064.65,Fiber optic,Electronic check,2,Medium,1,0,2,Call,0,0,1,3.9,15.8,0,0.0,3.2,11,1
CUST-1028,3,Month-to-month,74.4,229.55,Fiber optic,Electronic check,1,Low,1,1,2,Ticket,0,0,0,25.6,39.8,0,3.1,3.2,4,1
CUST-1029,27,Month-to-month,78.05,2135.5,Fiber optic,Electronic check,0,Low,0,0,2,Chat,0,0,1,24.1,24.5,0,0.0,4.0,137,1
CUST-1030,25,Month-to-month,58.6,1502.65,DSL,Credit card (automatic),0,Low,0,1,0,Call,0,1,1,2.7,10.6,0,2.0,4.4,136,1
CUST-1031,1,Month-to-month,35.45,35.45,DSL,Electronic check,0,Low,0,0,0,Email,0,2,1,35.1,43.4,0,0.0,2.4,55,1
CUST-1032,2,Month-to-month,44.35,81.25,DSL,Electronic check,0,Low,0,1,1,Chat,0,0,1,0.8,12.4,0,1.1,3.9,42,1
CUST-1033,1,Month-to-month,70.45,70.45,Fiber optic,Mailed check,1,High,0,1,2,Ticket,0,0,1,90.0,95.3,1,0.1,2.7,2,1
CUST-1034,8,Month-to-month,71.15,563.65,DSL,Electronic check,1,Low,1,0,2,Call,1,0,0,77.8,78.7,1,0.0,3.7,24,1
CUST-1035,1,Month-to-month,45.65,45.65,DSL,Electronic check,2,Low,0,0,2,Email,1,0,0,35.6,40.2,0,0.0,5.0,16,1
CUST-1036,7,Month-to-month,95.0,655.5,Fiber optic,Mailed check,1,Low,1,2,1,Email,0,1,1,15.3,18.3,0,3.8,3.0,15,1
CUST-1037,20,Month-to-month,82.4,1592.35,Fiber optic,Electronic check,1,Low,1,0,1,Chat,0,0,0,8.1,26.7,0,0.0,3.1,6,1
CUST-1038,4,Month-to-month,70.9,273.0,Fiber optic,Bank transfer (automatic),2,Medium,0,0,2,Email,0,0,0,9.5,34.9,0,0.0,3.7,29,1
CUST-1039,58,Month-to-month,45.3,2651.2,DSL,Electronic check,1,Low,0,0,2,Ticket,1,0,0,2.5,4.8,0,0.0,4.5,25,1
CUST-1040,2,Month-to-month,104.4,242.8,Fiber optic,Electronic check,2,Low,3,2,4,Chat,0,1,0,29.7,41.0,0,0.9,4.2,2,1
CUST-1041,53,One year,94.85,5000.2,Fiber optic,Bank transfer (automatic),0,Low,1,0,0,Email,0,0,0,74.5,77.2,1,0.0,5.0,78,1
CUST-1042,15,Month-to-month,74.45,1145.7,Fiber optic,Mailed check,2,Medium,0,0,3,Call,0,0,1,6.3,27.7,0,0.0,2.5,28,1
CUST-1043,7,Month-to-month,76.45,503.6,Fiber optic,Bank transfer (automatic),0,Low,1,0,0,Ticket,0,0,0,87.5,105.3,1,0.0,3.4,144,1
CUST-1044,1,Month-to-month,29.95,29.95,DSL,Bank transfer (automatic),2,Low,0,0,2,Call,0,0,0,13.9,24.3,0,0.0,3.3,21,1
CUST-1045,8,Month-to-month,84.5,662.65,Fiber optic,Bank transfer (automatic),1,Medium,0,0,1,Email,0,0,0,3.5,8.1,0,0.0,4.0,7,1
CUST-1046,13,Month-to-month,79.25,1111.65,Fiber optic,Electronic check,1,Low,1,1,1,Ticket,0,0,1,34.0,83.0,0,0.3,2.9,7,1
CUST-1047,1,Month-to-month,24.8,24.8,DSL,Electronic check,3,Medium,0,0,3,Call,0,0,0,40.8,53.2,0,0.0,4.3,9,1
CUST-1048,6,Month-to-month,91.0,531.0,Fiber optic,Electronic check,0,Medium,1,0,0,Email,0,0,0,9.5,25.6,0,0.0,3.8,127,1
CUST-1049,1,Month-to-month,79.9,79.9,Fiber optic,Electronic check,1,Low,0,2,1,Ticket,1,0,1,78.4,103.9,1,11.2,3.7,9,1
CUST-1050,19,Month-to-month,106.6,1934.45,Fiber optic,Electronic check,2,Medium,0,1,2,Ticket,0,0,0,17.7,38.5,0,0.0,2.6,24,1
CUST-1051,2,Month-to-month,46.0,84.5,DSL,Credit card (automatic),0,High,1,0,0,Ticket,0,1,0,0.8,21.4,0,0.0,4.7,142,1
CUST-1052,4,Month-to-month,70.15,268.35,Fiber optic,Electronic check,0,Medium,0,0,0,Email,0,0,0,9.7,13.2,0,0.0,4.1,90,1
CUST-1053,4,Month-to-month,50.05,179.35,DSL,Mailed check,3,High,0,0,3,Email,1,0,0,33.4,38.0,0,0.0,2.2,21,1
CUST-1054,1,Month-to-month,55.2,55.2,DSL,Mailed check,1,Low,0,0,1,Ticket,0,0,1,5.1,11.1,0,0.0,3.8,5,1
CUST-1055,1,Month-to-month,84.6,84.6,Fiber optic,Mailed check,0,Low,0,1,1,Ticket,0,0,0,3.2,33.1,0,1.7,4.0,41,1
CUST-1056,2,Month-to-month,54.4,114.1,DSL,Mailed check,1,High,0,0,2,Ticket,0,0,1,21.9,22.6,0,0.0,4.6,20,1
CUST-1057,11,Month-to-month,95.0,1120.3,Fiber optic,Electronic check,0,Low,0,0,1,Email,0,0,1,8.2,11.8,0,0.0,3.9,125,1
CUST-1058,15,Month-to-month,74.4,1074.3,Fiber optic,Electronic check,2,High,2,1,3,Chat,0,0,1,21.9,28.9,0,1.4,4.0,5,1
CUST-1059,1,Month-to-month,48.55,48.55,DSL,Mailed check,1,Low,1,0,1,Call,1,0,1,8.7,23.8,0,0.0,3.4,20,1
CUST-1060,2,Month-to-month,70.4,147.15,Fiber optic,Electronic check,4,High,0,0,4,Call,0,0,1,33.9,36.1,0,0.0,2.2,23,1
CUST-1061,1,Month-to-month,40.2,40.2,DSL,Electronic check,1,Low,1,0,1,Call,0,1,1,12.6,21.1,0,0.0,3.3,27,1
CUST-1062,2,Month-to-month,44.6,80.55,DSL,Credit card (automatic),1,Low,1,0,2,Chat,0,1,0,98.5,103.4,1,0.0,4.6,11,1
CUST-1063,3,Month-to-month,41.15,132.2,DSL,Electronic check,1,High,0,0,1,Email,2,0,1,10.8,13.7,0,0.0,4.6,22,1
CUST-1064,13,Month-to-month,106.9,1364.3,Fiber optic,Electronic check,2,Low,0,0,2,Ticket,0,0,1,3.6,4.4,0,0.0,2.5,29,1
CUST-1065,59,Two year,19.35,1099.6,No,Mailed check,1,Low,0,1,1,Ticket,0,1,1,23.2,43.9,0,1.1,2.2,29,1
CUST-1066,16,Month-to-month,94.45,1511.2,Fiber optic,Electronic check,0,Low,0,1,0,Chat,0,0,1,30.0,43.8,0,1.5,3.2,167,1
CUST-1067,1,Month-to-month,24.8,24.8,DSL,Bank transfer (automatic),2,Medium,0,0,2,Call,0,0,1,9.7,13.7,0,0.0,2.3,11,1
CUST-1068,1,Month-to-month,70.6,70.6,Fiber optic,Mailed check,1,High,1,1,1,Email,0,0,1,31.5,37.4,0,1.0,5.0,11,1
CUST-1069,5,Month-to-month,85.4,401.1,Fiber optic,Electronic check,0,Low,0,1,1,Email,2,0,1,9.6,19.1,0,2.2,4.3,164,1
CUST-1070,52,Month-to-month,105.05,5624.85,Fiber optic,Electronic check,2,Low,1,0,3,Email,2,0,1,2.4,7.0,0,0.0,4.3,8,1
CUST-1071,18,Month-to-month,95.15,1779.95,Fiber optic,Mailed check,1,Low,0,0,1,Ticket,1,1,0,2.0,4.5,0,0.0,4.5,16,1
CUST-1072,1,Month-to-month,70.0,70.0,Fiber optic,Electronic check,1,Medium,0,0,1,Call,0,0,0,14.9,17.7,0,0.0,3.1,16,1
CUST-1073,8,Month-to-month,74.5,606.55,Fiber optic,Electronic check,1,Low,1,0,2,Call,0,0,0,94.6,117.4,1,0.0,2.1,18,1
CUST-1074,10,Month-to-month,44.85,435.4,DSL,Credit card (automatic),1,Low,1,0,1,Chat,1,0,1,17.5,25.4,0,0.0,4.6,25,1
CUST-1075,24,Month-to-month,76.1,1712.7,Fiber optic,Electronic check,3,Low,0,0,4,Call,0,1,1,17.5,25.1,0,0.0,2.9,18,1
CUST-1076,1,Month-to-month,73.6,73.6,Fiber optic,Mailed check,1,Medium,0,1,2,Ticket,0,1,0,45.7,51.6,0,1.3,4.7,19,1
CUST-1077,4,Month-to-month,95.45,396.1,Fiber optic,Electronic check,2,High,0,0,4,Ticket,0,0,0,67.7,83.1,1,0.0,1.8,25,1
CUST-1078,32,Month-to-month,74.9,2303.35,Fiber optic,Electronic check,4,Medium,0,0,5,Email,0,0,1,4.5,25.7,0,0.0,2.7,28,1
CUST-1079,5,Month-to-month,80.6,415.55,Fiber optic,Electronic check,3,Low,1,0,3,Email,0,1,1,3.3,18.6,0,0.0,3.2,19,1
CUST-1080,38,One year,80.3,3058.65,DSL,Credit card (automatic),3,Medium,1,0,4,Call,0,0,1,26.4,34.3,0,0.0,3.6,19,1
CUST-1081,24,Month-to-month,93.15,2231.05,Fiber optic,Electronic check,2,Medium,1,0,3,Email,1,0,1,21.8,24.4,0,0.0,3.1,12,1
CUST-1082,54,One year,82.45,4350.1,DSL,Bank transfer (automatic),2,Low,1,1,2,Email,0,0,1,9.8,19.1,0,4.5,3.7,25,1
CUST-1083,2,Month-to-month,70.35,139.05,Fiber optic,Electronic check,1,Low,0,0,1,Chat,0,0,1,52.0,67.5,1,0.0,3.3,7,1
CUST-1084,7,Month-to-month,73.85,511.25,Fiber optic,Electronic check,1,Low,1,0,1,Email,0,0,1,18.0,24.4,0,0.0,5.0,16,1
CUST-1085,2,Month-to-month,80.6,155.8,Fiber optic,Mailed check,0,Medium,1,0,1,Email,0,0,0,4.4,60.7,0,0.0,4.3,179,1
CUST-1086,68,One year,75.8,5293.95,DSL,Bank transfer (automatic),3,Medium,0,0,3,Call,0,0,1,11.3,44.2,0,0.0,5.0,1,1
CUST-1087,43,Two year,104.6,4759.85,Fiber optic,Electronic check,1,Medium,0,0,1,Call,0,0,0,48.4,80.7,1,0.0,4.1,10,1
CUST-1088,63,Month-to-month,103.4,6603.0,Fiber optic,Electronic check,1,Low,0,0,1,Email,0,1,0,0.4,11.2,0,0.0,4.2,13,1
CUST-1089,2,Month-to-month,90.4,168.2,Fiber optic,Electronic check,1,Low,0,0,1,Chat,0,0,1,41.9,51.5,0,0.0,2.7,15,1
CUST-1090,4,Month-to-month,84.8,371.9,Fiber optic,Bank transfer (automatic),0,High,0,0,0,Ticket,1,0,0,69.7,78.8,1,0.0,4.3,142,1
CUST-1091,21,Month-to-month,41.9,840.1,DSL,Electronic check,1,Low,1,0,2,Ticket,0,0,1,10.5,18.1,0,0.0,3.5,5,1
CUST-1092,10,Month-to-month,80.25,846.0,Fiber optic,Bank transfer (automatic),0,High,2,1,1,Ticket,0,0,1,7.7,9.8,0,0.4,5.0,104,1
CUST-1093,27,Month-to-month,30.75,805.1,DSL,Credit card (automatic),3,Medium,1,1,3,Chat,0,0,0,4.2,29.3,0,0.9,3.1,7,1
CUST-1094,5,Month-to-month,96.5,492.55,Fiber optic,Bank transfer (automatic),3,Low,0,0,4,Email,0,1,0,0.9,21.4,0,0.0,4.7,18,1
CUST-1095,2,Month-to-month,85.65,181.5,Fiber optic,Electronic check,3,Low,1,1,3,Ticket,0,0,0,26.0,42.3,0,1.0,1.0,2,1
CUST-1096,25,Month-to-month,104.95,2566.5,Fiber optic,Bank transfer (automatic),0,High,1,0,0,Email,0,1,0,4.3,18.4,0,0.0,3.7,47,1
CUST-1097,1,Month-to-month,50.65,50.65,DSL,Mailed check,0,Low,0,0,0,Email,0,0,0,51.8,59.3,1,0.0,3.8,155,1
CUST-1098,1,Month-to-month,90.85,90.85,Fiber optic,Credit card (automatic),0,High,0,0,0,Email,0,0,1,14.0,79.0,0,0.0,4.0,53,1
CUST-1099,11,Month-to-month,19.95,214.75,No,Mailed check,1,Low,0,0,3,Ticket,1,0,1,83.0,90.0,1,0.0,3.7,8,1
CUST-1100,55,Month-to-month,85.45,4874.7,Fiber optic,Electronic check,0,Medium,2,0,0,Chat,0,0,1,89.8,93.4,1,0.0,5.0,111,1
CUST-1101,34,Month-to-month,73.95,2524.45,Fiber optic,Credit card (automatic),0,Medium,0,0,0,Chat,0,0,1,37.1,41.9,0,0.0,4.5,99,1
CUST-1102,69,Month-to-month,99.45,7007.6,Fiber optic,Credit card (automatic),0,High,0,3,1,Chat,0,2,1,13.3,28.4,0,0.6,3.9,136,1
CUST-1103,1,Month-to-month,19.9,19.9,No,Mailed check,0,Low,1,3,0,Chat,0,0,0,14.3,18.6,0,1.0,4.4,150,1
CUST-1104,1,Month-to-month,19.6,19.6,No,Mailed check,2,Medium,1,0,2,Email,0,0,1,69.2,82.4,1,0.0,2.9,12,1
CUST-1105,3,Month-to-month,81.35,233.7,Fiber optic,Electronic check,1,Low,1,0,1,Ticket,0,0,1,29.9,44.8,0,0.0,3.4,4,1
CUST-1106,22,Month-to-month,83.3,1845.9,Fiber optic,Electronic check,0,Low,1,1,1,Chat,1,1,0,11.8,40.0,0,1.5,3.7,30,1
CUST-1107,1,Month-to-month,75.3,75.3,Fiber optic,Bank transfer (automatic),3,Low,2,0,3,Chat,1,0,1,45.6,53.0,0,0.0,3.8,12,1
CUST-1108,61,Month-to-month,19.4,1182.55,No,Mailed check,0,Low,0,0,1,Chat,0,0,0,7.3,15.4,0,0.0,1.6,174,1
CUST-1109,12,Month-to-month,45.4,518.9,DSL,Bank transfer (automatic),3,Low,2,0,4,Call,1,1,1,63.5,64.4,1,0.0,3.7,19,1
CUST-1110,60,Month-to-month,105.9,6396.45,Fiber optic,Electronic check,3,Low,0,1,3,Email,0,0,1,6.4,8.7,0,0.1,2.8,16,1
CUST-1111,1,Month-to-month,69.55,69.55,Fiber optic,Mailed check,3,High,0,0,3,Chat,0,1,1,30.4,33.9,0,0.0,4.1,16,1
CUST-1112,28,Month-to-month,81.05,2227.1,Fiber optic,Electronic check,2,Medium,1,1,4,Email,0,0,1,24.0,56.3,0,1.6,4.3,26,1
CUST-1113,4,Month-to-month,101.15,385.9,Fiber optic,Electronic check,2,Low,0,1,2,Email,0,0,0,20.3,32.6,0,3.7,3.5,23,1
CUST-1114,7,Month-to-month,99.8,673.25,Fiber optic,Electronic check,2,High,0,1,3,Email,0,0,0,14.5,42.4,0,1.6,1.7,29,1
CUST-1115,13,Month-to-month,55.95,734.35,DSL,Electronic check,3,Low,0,0,3,Call,0,0,0,18.8,23.2,0,0.0,3.1,12,1
CUST-1116,1,Month-to-month,55.0,55.0,DSL,Electronic check,1,Low,0,0,1,Call,0,0,0,27.1,31.9,0,0.0,2.5,12,1
CUST-1117,1,Month-to-month,74.7,74.7,Fiber optic,Electronic check,1,Medium,0,1,1,Chat,0,0,0,23.1,31.4,0,2.4,3.6,12,1
CUST-1118,24,Month-to-month,80.25,1861.5,Fiber optic,Electronic check,2,Low,0,0,2,Email,0,0,1,7.4,20.4,0,0.0,3.6,15,1
CUST-1119,5,Month-to-month,96.1,453.4,Fiber optic,Electronic check,0,Medium,2,1,0,Call,0,0,1,7.3,9.2,0,1.2,3.7,145,1
CUST-1120,15,Month-to-month,69.0,994.8,Fiber optic,Bank transfer (automatic),2,Low,0,0,4,Ticket,0,0,1,24.1,26.4,0,0.0,3.2,26,1
CUST-1121,48,Month-to-month,45.3,2145.0,DSL,Bank transfer (automatic),4,Low,1,1,4,Ticket,0,0,0,3.8,23.3,0,0.3,3.2,28,1
CUST-1122,8,Month-to-month,83.55,680.05,Fiber optic,Electronic check,2,Low,1,0,2,Email,2,0,1,84.9,108.7,1,0.0,3.3,15,1
CUST-1123,1,Month-to-month,74.35,74.35,Fiber optic,Electronic check,3,High,1,1,3,Ticket,0,0,1,43.1,43.2,0,1.2,4.6,18,1
CUST-1124,2,Month-to-month,74.4,139.4,Fiber optic,Electronic check,0,Medium,0,0,1,Chat,0,0,0,13.9,28.7,0,0.0,4.6,100,1
CUST-1125,22,One year,43.75,903.6,DSL,Bank transfer (automatic),0,Medium,0,1,0,Ticket,0,0,1,17.1,22.4,0,4.5,3.2,162,1
CUST-1126,5,Month-to-month,28.45,131.05,DSL,Electronic check,2,Medium,1,1,3,Ticket,0,0,1,10.1,15.1,0,0.2,2.1,3,1
CUST-1127,12,Month-to-month,99.7,1238.45,Fiber optic,Bank transfer (automatic),3,Low,2,1,3,Ticket,0,0,1,3.8,13.6,0,1.6,4.7,23,1
CUST-1128,20,Month-to-month,94.1,1782.4,Fiber optic,Electronic check,2,Medium,0,0,2,Email,0,1,0,20.6,37.5,0,0.0,3.9,20,1
CUST-1129,2,Month-to-month,94.2,167.5,Fiber optic,Electronic check,0,Low,0,1,0,Call,1,0,1,103.3,134.9,1,1.2,3.0,63,1
CUST-1130,6,Month-to-month,80.5,502.85,Fiber optic,Electronic check,1,Low,1,0,1,Ticket,0,0,0,4.1,4.2,0,0.0,2.1,10,1
CUST-1131,5,Month-to-month,74.35,334.8,Fiber optic,Electronic check,1,Medium,0,1,1,Ticket,0,0,1,17.7,21.4,0,2.0,3.5,28,1
CUST-1132,40,Month-to-month,104.8,4131.95,Fiber optic,Bank transfer (automatic),1,Low,2,0,2,Email,0,0,1,74.1,80.0,1,0.0,3.7,22,1
CUST-1133,27,Month-to-month,75.2,1929.35,Fiber optic,Bank transfer (automatic),1,Low,1,0,2,Chat,0,0,0,92.8,93.8,1,0.0,4.0,27,1
CUST-1134,23,Month-to-month,75.6,1758.6,Fiber optic,Bank transfer (automatic),0,Medium,0,1,0,Chat,0,0,0,15.3,15.7,0,3.5,4.7,80,1
CUST-1135,34,Month-to-month,100.05,3480.0,Fiber optic,Electronic check,1,Medium,0,1,1,Call,0,0,1,1.7,62.2,0,3.3,3.4,12,1
CUST-1136,1,Month-to-month,85.0,85.0,Fiber optic,Electronic check,1,Medium,1,1,2,Email,0,0,0,6.6,19.1,0,0.8,3.1,16,1
CUST-1137,10,Month-to-month,86.05,834.1,Fiber optic,Bank transfer (automatic),3,Low,0,0,3,Call,0,0,0,28.0,31.7,0,0.0,4.0,4,1
CUST-1138,13,Month-to-month,45.55,597.0,DSL,Credit card (automatic),1,Low,0,0,1,Ticket,0,0,1,1.7,7.3,0,0.0,3.3,11,1
CUST-1139,39,Month-to-month,86.3,3266.0,Fiber optic,Mailed check,0,Medium,2,0,1,Call,0,0,0,23.4,38.1,0,0.0,4.2,48,1
CUST-1140,32,Month-to-month,80.35,2596.15,Fiber optic,Bank transfer (automatic),1,Medium,0,0,1,Call,0,0,0,13.8,15.6,0,0.0,3.3,14,1
CUST-1141,35,Month-to-month,100.25,3527.6,Fiber optic,Electronic check,2,Medium,0,0,4,Ticket,0,1,1,4.6,11.2,0,0.0,3.8,10,1
CUST-1142,56,One year,100.3,5614.45,Fiber optic,Credit card (automatic),1,High,1,1,2,Call,0,0,0,2.4,26.3,0,4.2,2.9,20,1
CUST-1143,12,Month-to-month,19.0,233.55,No,Mailed check,1,High,0,1,2,Call,0,0,1,26.4,30.2,0,1.5,4.2,22,1
CUST-1144,1,Month-to-month,75.3,75.3,Fiber optic,Mailed check,0,Low,1,1,1,Ticket,0,0,1,4.5,6.7,0,1.2,4.5,175,1
CUST-1145,4,Month-to-month,89.2,346.2,Fiber optic,Electronic check,0,Medium,0,1,2,Ticket,1,0,0,17.0,43.0,0,0.5,4.4,155,1
CUST-1146,1,Month-to-month,85.7,85.7,Fiber optic,Electronic check,2,Medium,0,1,4,Ticket,0,0,0,15.6,51.6,0,2.0,3.5,20,1
CUST-1147,12,Month-to-month,61.65,713.75,DSL,Mailed check,0,Medium,0,0,0,Call,1,0,0,25.8,51.2,0,0.0,3.9,160,1
CUST-1148,65,Month-to-month,105.25,6786.4,Fiber optic,Bank transfer (automatic),4,Low,2,1,6,Ticket,0,0,0,13.0,43.6,0,3.3,3.1,23,1
CUST-1149,9,Month-to-month,29.95,248.95,DSL,Electronic check,0,Medium,0,0,0,Email,0,0,1,56.8,63.1,1,0.0,3.5,137,1
CUST-1150,9,Month-to-month,65.0,663.05,DSL,Mailed check,1,High,0,0,2,Call,0,0,0,44.0,51.6,0,0.0,2.2,3,1
CUST-1151,7,Month-to-month,20.0,137.6,No,Bank transfer (automatic),3,Medium,0,0,3,Ticket,0,0,0,39.1,50.8,0,0.0,1.7,2,1
CUST-1152,49,Month-to-month,90.05,4547.25,Fiber optic,Credit card (automatic),3,Medium,1,0,3,Call,0,1,1,7.5,8.2,0,0.0,3.1,14,1
CUST-1153,43,Month-to-month,110.75,4687.9,Fiber optic,Bank transfer (automatic),0,Low,0,1,0,Email,1,0,1,96.5,110.3,1,2.9,3.0,150,1
CUST-1154,65,Month-to-month,105.5,6985.65,Fiber optic,Electronic check,2,Low,0,1,3,Ticket,0,0,1,17.1,26.5,0,4.6,2.2,17,1
CUST-1155,56,One year,104.55,5794.65,Fiber optic,Bank transfer (automatic),1,Low,0,0,1,Ticket,0,0,1,86.4,119.7,1,0.0,3.6,13,1
CUST-1156,10,Month-to-month,85.25,855.3,Fiber optic,Electronic check,0,Low,1,1,0,Chat,0,0,1,42.3,51.7,0,4.5,5.0,148,1
CUST-1157,43,Month-to-month,56.15,2499.3,DSL,Electronic check,1,Medium,0,0,1,Email,0,0,0,46.0,102.6,0,0.0,2.7,21,1
CUST-1158,1,Month-to-month,89.55,89.55,Fiber optic,Electronic check,1,Low,0,0,2,Email,1,1,1,28.1,70.0,0,0.0,5.0,6,1
CUST-1159,20,Month-to-month,94.55,1899.65,Fiber optic,Electronic check,1,Medium,0,2,3,Chat,0,0,0,4.4,10.6,0,0.3,3.1,25,1
CUST-1160,1,Month-to-month,45.7,45.7,DSL,Mailed check,1,Low,0,0,2,Email,1,0,0,72.9,73.3,1,0.0,4.2,26,1
CUST-1161,2,Month-to-month,89.5,161.5,Fiber optic,Electronic check,0,Low,2,0,1,Ticket,0,1,0,11.8,31.5,0,0.0,2.7,120,1
CUST-1162,3,Month-to-month,69.55,222.3,Fiber optic,Bank transfer (automatic),2,Low,0,0,2,Chat,0,0,1,66.1,89.1,1,0.0,4.7,29,1
CUST-1163,1,Month-to-month,74.6,74.6,Fiber optic,Mailed check,1,High,1,1,2,Call,0,0,1,48.3,58.0,1,1.2,3.4,23,1
CUST-1164,8,Month-to-month,19.65,164.3,No,Electronic check,2,Low,0,0,2,Ticket,1,0,0,39.8,55.6,0,0.0,4.6,1,1
CUST-1165,2,One year,19.85,35.9,No,Mailed check,0,Low,2,1,0,Email,1,0,0,0.2,8.0,0,2.4,3.8,37,1
CUST-1166,4,Month-to-month,24.25,96.05,DSL,Mailed check,2,Medium,0,1,2,Chat,0,0,1,19.8,31.8,0,3.6,2.8,23,1
CUST-1167,2,Month-to-month,69.65,145.15,Fiber optic,Electronic check,1,High,1,1,1,Call,0,0,1,6.4,15.0,0,0.8,2.2,29,1
CUST-1168,4,Month-to-month,45.65,191.05,DSL,Mailed check,2,Medium,0,0,2,Chat,0,0,1,48.9,56.7,1,0.0,4.4,16,1
CUST-1169,1,Month-to-month,75.05,75.05,Fiber optic,Mailed check,1,Low,0,0,2,Ticket,0,0,0,27.8,48.4,0,0.0,3.8,13,1
